SCAN REPORT FOR: https://www.meta.ai/media
DATE: 27/01/2026, 22:37:13
=================================================================================
TYPE | TAG | ID | CLASS | ROLE | ARIA-LABEL | TEXT | XPATH
=================================================================================
[HIDDEN] | TITLE | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"Meta AI" | XPATH://*[@id="undefined"]/HTML[1]/HEAD[1]/TITLE[1]
[VISIBLE] | BODY | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"New chat Ctrl+Shift+O Search Ctrl+K Vibes Create H" | XPATH:BODY
[HIDDEN] | DIV | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[1]
[VISIBLE] | DIV | ID:- | CLASS:min-w-0.flex.group/sidebar-wrapper.min-h-svh.w-full | ROLE:- | ARIA:- | TEXT:"New chat Ctrl+Shift+O Search Ctrl+K Vibes Create H" | XPATH:BODY/DIV[2]
[HIDDEN] | DIV | ID:- | CLASS:fixed.start-0.end-0.top-0.z-[999].h-1.w-full | ROLE:progressbar | ARIA:Loading page | TEXT:"" | XPATH:BODY/DIV[2]/DIV[1]
[VISIBLE] | DIV | ID:- | CLASS:h-full.w-full | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[1]/DIV[1]
[VISIBLE] | DIV | ID:- | CLASS:min-h-0.min-w-0.flex.h-dvh.w-dvw.overflow-hidden | ROLE:- | ARIA:- | TEXT:"New chat Ctrl+Shift+O Search Ctrl+K Vibes Create H" | XPATH:BODY/DIV[2]/DIV[2]
[VISIBLE] | DIV | ID:- | CLASS:group.peer.text-text-primary.hidden.select-none.md:block | ROLE:- | ARIA:- | TEXT:"New chat Ctrl+Shift+O Search Ctrl+K Vibes Create H" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]
[VISIBLE] | DIV | ID:- | CLASS:relative.bg-transparent.transition-[width].duration-[230ms].ease-in-out | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[1]
[VISIBLE] | DIV | ID:- | CLASS:fixed.inset-y-0.start-0.z-10.hidden.h-svh.overflow-hidden.transition-[width].duration-[230ms].ease-in-out.md:flex | ROLE:- | ARIA:- | TEXT:"New chat Ctrl+Shift+O Search Ctrl+K Vibes Create H" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]
[VISIBLE] | DIV | ID:- | CLASS:min-h-0.min-w-0.flex.flex-col.group/sidebar.bg-bg-primary.relative.h-full.w-full | ROLE:- | ARIA:- | TEXT:"New chat Ctrl+Shift+O Search Ctrl+K Vibes Create H" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]
[VISIBLE] | DIV | ID:- | CLASS:flex.items-center.group/header.relative.px-3.py-3 | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]
[VISIBLE] | BUTTON | ID:- | CLASS:group/button.relative.flex.size-8.cursor-pointer.items-center.justify-center.rounded-xl.select-none | ROLE:- | ARIA:Home | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]
[VISIBLE] | svg | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]
[VISIBLE] | g | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]
[VISIBLE] | g | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]
[VISIBLE] | mask | ID:mask0_1_53 | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="mask0_1_53"]
[VISIBLE] | circle | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="mask0_1_53"]/circle[1]
[VISIBLE] | g | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]
[VISIBLE] | rect | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/rect[1]
[VISIBLE] | g | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/g[1]
[VISIBLE] | circle | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/g[1]/circle[1]
[VISIBLE] | g | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/g[2]
[VISIBLE] | circle | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/g[2]/circle[1]
[VISIBLE] | g | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/g[3]
[VISIBLE] | circle | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/g[3]/circle[1]
[VISIBLE] | g | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/g[4]
[VISIBLE] | circle | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/g[4]/circle[1]
[VISIBLE] | g | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/g[5]
[VISIBLE] | circle | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/g[5]/circle[1]
[VISIBLE] | g | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/g[6]
[VISIBLE] | ellipse | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/g[1]/g[1]/g[1]/g[6]/ellipse[1]
[VISIBLE] | defs | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/defs[1]
[VISIBLE] | filter | ID:filter0_f_1_53 | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter0_f_1_53"]
[VISIBLE] | feFlood | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter0_f_1_53"]/feFlood[1]
